module_name	donor_id	sample_id	compartment	n_nuclei	n_genes_used_after_driver_removal	mean_module_score	median_module_score	sd_module_score	se_module_score	notes
MAGMA_FDR05	GSM7290913	GSM7290913	Collecting_duct_principal	1385	335	0.208747033894074	0.229108534636612	0.0743548331056222	0.00199794862416735	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Collecting_duct_principal	1385	166	0.218552518837568	0.235970495457885	0.0849174464698959	0.00228177091193693	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290913	GSM7290913	Fibroblast_stromal	761	40	0.217372208143926	0.223302129054474	0.0901157144238863	0.00326669209576368	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290913	GSM7290913	Fibroblast_stromal	761	84	0.195415200046865	0.204993628652591	0.0697251162729917	0.00252753349026118	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290913	GSM7290913	Fibroblast_stromal	761	78	0.198074901202571	0.208572476882354	0.071273995801792	0.00258368032931549	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290913	GSM7290913	Fibroblast_stromal	761	335	0.202388203244843	0.216138179764983	0.0589995452661434	0.0021387318450141	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Fibroblast_stromal	761	166	0.20954017801072	0.223279953790392	0.0660290341804077	0.00239355061907909	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	40	0.22077609165891	0.235154151407578	0.109249799906899	0.00459211160688265	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	84	0.200622382428799	0.220612517161051	0.0888416482820836	0.00373429301104814	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	78	0.209032828779856	0.225279742765778	0.0927480059562818	0.00389848947119367	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	335	0.195350171631766	0.213678019018511	0.0716434628244752	0.00301139935701394	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	166	0.20593382253493	0.221248721750011	0.082896253686346	0.00348438943636105	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290913	GSM7290913	Endothelial	305	40	0.211314030653141	0.210343463679998	0.0840375645008993	0.00481197694530092	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top100	GSM7290913	GSM7290913	Endothelial	305	84	0.208498039342222	0.218766058923854	0.0653653662664955	0.00374280998460112	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_Bonferroni	GSM7290913	GSM7290913	Endothelial	305	78	0.220709548489498	0.231148365229724	0.0695290629388808	0.00398122256252072	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_FDR05	GSM7290913	GSM7290913	Endothelial	305	335	0.218026558667095	0.229856412427273	0.0496508887031244	0.00284300161686123	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Endothelial	305	166	0.225107553368139	0.234423765978159	0.0580031875058245	0.00332125285507301	Driver-removed module score; donor x compartment descriptive summary.
MAGMA_top50	GSM7290912	GSM7290912	Injured_undifferentiated_epithelial	55	40	0.159936664746283	0.140398770573318	0.0937740577837574	0.0126444913720859	Driver-removed module score; donor x compartment descriptive summary.
