sample_id	patient_id	pair_id	group_curated	module_name	module_score	group_order
GSM1900700	ST49	ST49	control_or_adjacent	MAGMA_FDR05	-0.745234933520169	0
GSM1900701	ST49	ST49	plaque_or_stone_papilla	MAGMA_FDR05	-0.732293344814514	1
GSM1900724	ST50	ST50	control_or_adjacent	MAGMA_FDR05	-0.141051069342271	0
GSM1900725	ST50	ST50	plaque_or_stone_papilla	MAGMA_FDR05	-0.119575628337854	1
GSM1900726	ST52	ST52	control_or_adjacent	MAGMA_FDR05	0.0848611009474627	0
GSM1900727	ST52	ST52	plaque_or_stone_papilla	MAGMA_FDR05	0.962325602697026	1
GSM1900728	ST53	ST53	control_or_adjacent	MAGMA_FDR05	0.810202033907372	0
GSM1900729	ST53	ST53	plaque_or_stone_papilla	MAGMA_FDR05	0.258365914775351	1
GSM1900730	ST54	ST54	control_or_adjacent	MAGMA_FDR05	0.769431419135374	0
GSM1900731	ST54	ST54	plaque_or_stone_papilla	MAGMA_FDR05	1.16416461023494	1
GSM1900733	ST56	ST56	control_or_adjacent	MAGMA_FDR05	1.07772190568157	0
GSM1900734	ST56	ST56	plaque_or_stone_papilla	MAGMA_FDR05	1.12217667026689	1
GSM1900675	ST18	ST18	control_or_adjacent	MAGMA_suggestive_p1e4	0.90092133608823	0
GSM1900676	ST18	ST18	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.983900206097061	1
GSM1900677	ST19	ST19	control_or_adjacent	MAGMA_suggestive_p1e4	0.0628741444267621	0
GSM1900678	ST19	ST19	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.390450710719915	1
GSM1900679	ST20	ST20	control_or_adjacent	MAGMA_suggestive_p1e4	-0.169710641342568	0
GSM1900680	ST20	ST20	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.170906424020684	1
GSM1900682	ST22	ST22	control_or_adjacent	MAGMA_suggestive_p1e4	-0.242166582213889	0
GSM1900683	ST22	ST22	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.205906017583572	1
GSM1900703	ST27	ST27	control_or_adjacent	MAGMA_suggestive_p1e4	-0.132578182376156	0
GSM1900704	ST27	ST27	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.027237505753982	1
GSM1900705	ST29	ST29	control_or_adjacent	MAGMA_suggestive_p1e4	0.275145160506	0
GSM1900706	ST29	ST29	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.492812505475632	1
GSM1900707	ST31	ST31	control_or_adjacent	MAGMA_suggestive_p1e4	0.386351597231184	0
GSM1900708	ST31	ST31	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.112823678087033	1
GSM1900686	ST33	ST33	control_or_adjacent	MAGMA_suggestive_p1e4	-0.575367581376043	0
GSM1900687	ST33	ST33	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.00837150032637502	1
GSM1900688	ST34	ST34	control_or_adjacent	MAGMA_suggestive_p1e4	-0.772735540324958	0
GSM1900689	ST34	ST34	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.610624641870018	1
GSM1900710	ST35	ST35	control_or_adjacent	MAGMA_suggestive_p1e4	0.395744030901284	0
GSM1900711	ST35	ST35	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.204180529518242	1
GSM1900690	ST38	ST38	control_or_adjacent	MAGMA_suggestive_p1e4	-0.777227065340452	0
GSM1900691	ST38	ST38	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.637559018604364	1
GSM1900714	ST40	ST40	control_or_adjacent	MAGMA_suggestive_p1e4	-0.42982223260936	0
GSM1900715	ST40	ST40	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.953311408384437	1
GSM1900692	ST41	ST41	control_or_adjacent	MAGMA_suggestive_p1e4	-0.673245208496418	0
GSM1900693	ST41	ST41	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.507765063421093	1
GSM1900694	ST42	ST42	control_or_adjacent	MAGMA_suggestive_p1e4	-0.91782733066672	0
GSM1900695	ST42	ST42	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.897181126758035	1
GSM1900716	ST43	ST43	control_or_adjacent	MAGMA_suggestive_p1e4	-0.45409621107391	0
GSM1900717	ST43	ST43	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.0579547954392924	1
GSM1900718	ST44	ST44	control_or_adjacent	MAGMA_suggestive_p1e4	0.584691351885522	0
GSM1900719	ST44	ST44	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	1.07948593826949	1
GSM1900720	ST45	ST45	control_or_adjacent	MAGMA_suggestive_p1e4	0.427395544444764	0
GSM1900721	ST45	ST45	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.0761293561610382	1
GSM1900696	ST46	ST46	control_or_adjacent	MAGMA_suggestive_p1e4	-0.817157198701718	0
GSM1900697	ST46	ST46	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.907933801854649	1
GSM1900698	ST47	ST47	control_or_adjacent	MAGMA_suggestive_p1e4	-0.79482022109078	0
GSM1900699	ST47	ST47	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.759594575466566	1
GSM1900722	ST48	ST48	control_or_adjacent	MAGMA_suggestive_p1e4	0.0155320825786233	0
GSM1900723	ST48	ST48	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.172581264844432	1
GSM1900700	ST49	ST49	control_or_adjacent	MAGMA_suggestive_p1e4	-0.748909325390205	0
GSM1900701	ST49	ST49	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.69001897432673	1
GSM1900724	ST50	ST50	control_or_adjacent	MAGMA_suggestive_p1e4	-0.120734404922951	0
GSM1900725	ST50	ST50	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	-0.125270689057924	1
GSM1900726	ST52	ST52	control_or_adjacent	MAGMA_suggestive_p1e4	0.00895162823373814	0
GSM1900727	ST52	ST52	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.934710543424898	1
GSM1900728	ST53	ST53	control_or_adjacent	MAGMA_suggestive_p1e4	0.813722026536318	0
GSM1900729	ST53	ST53	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	0.213503513604273	1
GSM1900730	ST54	ST54	control_or_adjacent	MAGMA_suggestive_p1e4	0.715260029084163	0
GSM1900731	ST54	ST54	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	1.13517571696673	1
GSM1900733	ST56	ST56	control_or_adjacent	MAGMA_suggestive_p1e4	0.972537794607853	0
GSM1900734	ST56	ST56	plaque_or_stone_papilla	MAGMA_suggestive_p1e4	1.11172055194034	1
GSM1900675	ST18	ST18	control_or_adjacent	MAGMA_top100	0.736757483789353	0
GSM1900676	ST18	ST18	plaque_or_stone_papilla	MAGMA_top100	0.888116024153771	1
GSM1900677	ST19	ST19	control_or_adjacent	MAGMA_top100	-0.0288363555861612	0
GSM1900678	ST19	ST19	plaque_or_stone_papilla	MAGMA_top100	0.379327155633635	1
GSM1900679	ST20	ST20	control_or_adjacent	MAGMA_top100	-0.146583643790814	0
GSM1900680	ST20	ST20	plaque_or_stone_papilla	MAGMA_top100	0.0565999563740936	1
GSM1900682	ST22	ST22	control_or_adjacent	MAGMA_top100	-0.253207656117111	0
GSM1900683	ST22	ST22	plaque_or_stone_papilla	MAGMA_top100	0.121937103362589	1
GSM1900703	ST27	ST27	control_or_adjacent	MAGMA_top100	-0.246968861492845	0
GSM1900704	ST27	ST27	plaque_or_stone_papilla	MAGMA_top100	-0.0879118855751395	1
GSM1900705	ST29	ST29	control_or_adjacent	MAGMA_top100	0.0998696434717598	0
GSM1900706	ST29	ST29	plaque_or_stone_papilla	MAGMA_top100	0.393446033103573	1
GSM1900707	ST31	ST31	control_or_adjacent	MAGMA_top100	0.568199938721562	0
GSM1900708	ST31	ST31	plaque_or_stone_papilla	MAGMA_top100	0.0665515555424339	1
GSM1900686	ST33	ST33	control_or_adjacent	MAGMA_top100	-0.662515532670732	0
GSM1900687	ST33	ST33	plaque_or_stone_papilla	MAGMA_top100	0.0257927997343174	1
GSM1900688	ST34	ST34	control_or_adjacent	MAGMA_top100	-0.72684473232534	0
GSM1900689	ST34	ST34	plaque_or_stone_papilla	MAGMA_top100	-0.623086330291636	1
GSM1900710	ST35	ST35	control_or_adjacent	MAGMA_top100	0.293361989788437	0
GSM1900711	ST35	ST35	plaque_or_stone_papilla	MAGMA_top100	-0.330204234762941	1
GSM1900690	ST38	ST38	control_or_adjacent	MAGMA_top100	-0.753720412231624	0
GSM1900691	ST38	ST38	plaque_or_stone_papilla	MAGMA_top100	-0.539717114438896	1
GSM1900714	ST40	ST40	control_or_adjacent	MAGMA_top100	-0.327769043891839	0
GSM1900715	ST40	ST40	plaque_or_stone_papilla	MAGMA_top100	1.06062544915567	1
GSM1900692	ST41	ST41	control_or_adjacent	MAGMA_top100	-0.543412164420519	0
GSM1900693	ST41	ST41	plaque_or_stone_papilla	MAGMA_top100	-0.41746181725002	1
GSM1900694	ST42	ST42	control_or_adjacent	MAGMA_top100	-0.882469336028253	0
GSM1900695	ST42	ST42	plaque_or_stone_papilla	MAGMA_top100	-0.832107614046772	1
GSM1900716	ST43	ST43	control_or_adjacent	MAGMA_top100	-0.451682129831221	0
GSM1900717	ST43	ST43	plaque_or_stone_papilla	MAGMA_top100	0.0764545178206955	1
GSM1900718	ST44	ST44	control_or_adjacent	MAGMA_top100	0.53502275538621	0
GSM1900719	ST44	ST44	plaque_or_stone_papilla	MAGMA_top100	1.0716323712176	1
GSM1900720	ST45	ST45	control_or_adjacent	MAGMA_top100	0.307243030233926	0
GSM1900721	ST45	ST45	plaque_or_stone_papilla	MAGMA_top100	0.135625037253544	1
GSM1900696	ST46	ST46	control_or_adjacent	MAGMA_top100	-0.675312858977458	0
GSM1900697	ST46	ST46	plaque_or_stone_papilla	MAGMA_top100	-0.868553648880613	1
GSM1900698	ST47	ST47	control_or_adjacent	MAGMA_top100	-0.769780375247502	0
GSM1900699	ST47	ST47	plaque_or_stone_papilla	MAGMA_top100	-0.659489247995212	1
GSM1900722	ST48	ST48	control_or_adjacent	MAGMA_top100	-0.0815045708538268	0
GSM1900723	ST48	ST48	plaque_or_stone_papilla	MAGMA_top100	-0.125234200571793	1
GSM1900700	ST49	ST49	control_or_adjacent	MAGMA_top100	-0.725793314421891	0
GSM1900701	ST49	ST49	plaque_or_stone_papilla	MAGMA_top100	-0.655425177190766	1
GSM1900724	ST50	ST50	control_or_adjacent	MAGMA_top100	-0.0658758003771372	0
GSM1900725	ST50	ST50	plaque_or_stone_papilla	MAGMA_top100	-0.0623022572060422	1
GSM1900726	ST52	ST52	control_or_adjacent	MAGMA_top100	0.198236694744929	0
GSM1900727	ST52	ST52	plaque_or_stone_papilla	MAGMA_top100	0.957935527270109	1
GSM1900728	ST53	ST53	control_or_adjacent	MAGMA_top100	0.92008329209037	0
GSM1900729	ST53	ST53	plaque_or_stone_papilla	MAGMA_top100	0.304054963353828	1
GSM1900730	ST54	ST54	control_or_adjacent	MAGMA_top100	0.731832819481527	0
GSM1900731	ST54	ST54	plaque_or_stone_papilla	MAGMA_top100	0.942640461942668	1
GSM1900733	ST56	ST56	control_or_adjacent	MAGMA_top100	0.915226099071733	0
GSM1900734	ST56	ST56	plaque_or_stone_papilla	MAGMA_top100	1.08055088505771	1
GSM1900675	ST18	ST18	control_or_adjacent	MAGMA_top50	0.517132542168688	0
GSM1900676	ST18	ST18	plaque_or_stone_papilla	MAGMA_top50	0.927512366338636	1
GSM1900677	ST19	ST19	control_or_adjacent	MAGMA_top50	-0.119149778305675	0
GSM1900678	ST19	ST19	plaque_or_stone_papilla	MAGMA_top50	0.339007589770439	1
GSM1900679	ST20	ST20	control_or_adjacent	MAGMA_top50	-0.150759764263448	0
GSM1900680	ST20	ST20	plaque_or_stone_papilla	MAGMA_top50	0.0907716117282715	1
GSM1900682	ST22	ST22	control_or_adjacent	MAGMA_top50	-0.211872674633306	0
GSM1900683	ST22	ST22	plaque_or_stone_papilla	MAGMA_top50	0.0952063164879739	1
GSM1900703	ST27	ST27	control_or_adjacent	MAGMA_top50	-0.29264185054764	0
GSM1900704	ST27	ST27	plaque_or_stone_papilla	MAGMA_top50	-0.240910285613839	1
GSM1900705	ST29	ST29	control_or_adjacent	MAGMA_top50	0.106313541489362	0
