module_name	gene	mean_expression_loop_tal	detection_fraction_loop_tal	mean_expression_other_compartments	loop_tal_specificity_ratio	approx_contribution_rank	curated_exemplar	known_tal_marker	known_transport_or_calcium_gene	notes
MAGMA_top100	HLA-DQB2	0	0	0.00189537295285197	5.27600370626229e-07	87	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	LAYN	0.0200872582605057	0.0203703703703704	0.0519007709652816	0.387031993935327	71	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	VPS13B	1.29542148828036	0.8	0.939852397617655	1.37832439560263	6	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	F12	0.000848559456281301	0.00185185185185185	0.00191635869931909	0.442798111744265	86	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	ATP6V1G2	0.00606057485462592	0.00740740740740741	0.0036409314336857	1.66456696602052	79	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	SHLD2	1.01655396631052	0.666666666666667	0.341315047269947	2.97834499962195	10	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	PRRC2A	0.159540672860517	0.166666666666667	0.193111180907772	0.826159688343226	39	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	SNX17	0.0593202010831299	0.0611111111111111	0.0958755077019653	0.618721119566941	62	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	WDR72	0.989661438383195	0.607407407407407	0.245892782593446	4.02476813235594	11	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	TNXB	0.0104165019973992	0.00925925925925926	0.1782812588165	0.058427358030343	75	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	RFTN2	0.030399607144729	0.0277777777777778	0.136109243079059	0.223347123484658	67	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	RAB36	0.0494279343589934	0.05	0.020558116303818	2.40430262307209	64	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	CFDP1	0.757603758279095	0.57037037037037	0.525801485051996	1.44085511238775	15	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	GCAT	0.114443724041687	0.103703703703704	0.051270324340163	2.23216303548666	47	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	SLC12A3	0.0978235788687904	0.0407407407407407	0.0344648522436681	2.83835765024657	52	no	no	yes	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	ACP4	0	0	0.000462407490281758	2.16259004974297e-06	87	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	POU2AF1	0.0831626668563401	0.0740740740740741	0.00199272667475511	41.7330822017915	57	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	TNFAIP8L3	0.0051163889996383	0.00740740740740741	0.0502016915233855	0.101916683332039	80	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	STAP2	0.0657366114577033	0.0666666666666667	0.0600075977631206	1.09547147049156	59	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	SLC17A3	0.0013316086853361	0.00185185185185185	0.00237048021184241	0.5617465680317	84	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
MAGMA_top100	ITIH3	0.00222858593509646	0.00185185185185185	0.00356705712971918	0.624768886306854	83	no	no	no	Descriptive contribution proxy from Loop/TAL expression and specificity; not causal evidence.
