file_path	used_for	source_phase	description	script_mapping	required_for_reproducibility	notes
source_data/locked_tables/phase4_step1_twas_proxy_gene_table.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step1 twas proxy gene table.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase4_step2_candidate_gene_evidence_matrix.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step2 candidate gene evidence matrix.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase4_step2_candidate_reporting_groups_repaired.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step2 candidate reporting groups repaired.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase4_step2_repaired_reporting_group_definitions.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step2 repaired reporting group definitions.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase4_step2_twas_downgrade_audit.tsv	Figure 3 / Supplementary Figure S3 / Supplementary Tables 4-5	Phase 4	phase4 step2 twas downgrade audit.tsv	scripts/phase4/phase4_step1_twas_audit.R;scripts/phase4/phase4_step2_candidate_evidence_model_repair.R;scripts/phase4/phase6_step4_reexport_figure3_bulk_reviewed.R;scripts/phase4/phase6_step6_reexport_full_candidate_matrix_bulk_reviewed.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase5_step2_bulk_paired_model_results.tsv	Figure 4 / Supplementary Table 6	Phase 5	phase5 step2 bulk paired model results.tsv	scripts/phase5/phase5_step1_bulk_input_audit.R;scripts/phase5/phase5_step2_bulk_module_scoring_paired_model.R;scripts/phase5/phase5_step3_bulk_tissue_state_sensitivity.R;scripts/phase5/phase5_step4_assemble_figure4_bulk_context.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase5_step3_module_tissue_state_correlations.tsv	Figure 4 / Supplementary Table 6	Phase 5	phase5 step3 module tissue state correlations.tsv	scripts/phase5/phase5_step1_bulk_input_audit.R;scripts/phase5/phase5_step2_bulk_module_scoring_paired_model.R;scripts/phase5/phase5_step3_bulk_tissue_state_sensitivity.R;scripts/phase5/phase5_step4_assemble_figure4_bulk_context.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase5_step3_tissue_state_adjusted_module_models.tsv	Figure 4 / Supplementary Table 6	Phase 5	phase5 step3 tissue state adjusted module models.tsv	scripts/phase5/phase5_step1_bulk_input_audit.R;scripts/phase5/phase5_step2_bulk_module_scoring_paired_model.R;scripts/phase5/phase5_step3_bulk_tissue_state_sensitivity.R;scripts/phase5/phase5_step4_assemble_figure4_bulk_context.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase5_step3_tissue_state_paired_model_results.tsv	Figure 4 / Supplementary Table 6	Phase 5	phase5 step3 tissue state paired model results.tsv	scripts/phase5/phase5_step1_bulk_input_audit.R;scripts/phase5/phase5_step2_bulk_module_scoring_paired_model.R;scripts/phase5/phase5_step3_bulk_tissue_state_sensitivity.R;scripts/phase5/phase5_step4_assemble_figure4_bulk_context.R	yes	author-generated derived source data; no raw third-party data
source_data/locked_tables/phase5_step3_tissue_state_sensitivity_interpretation_summary.tsv	Figure 4 / Supplementary Table 6	Phase 5	phase5 step3 tissue state sensitivity interpretation summary.tsv	scripts/phase5/phase5_step1_bulk_input_audit.R;scripts/phase5/phase5_step2_bulk_module_scoring_paired_model.R;scripts/phase5/phase5_step3_bulk_tissue_state_sensitivity.R;scripts/phase5/phase5_step4_assemble_figure4_bulk_context.R	yes	author-generated derived source data; no raw third-party data
