analysis_level	module_name	signature_name	n_observations	correlation_method	correlation	p_value	fdr_bh	interpretation	notes
sample_level	MAGMA_suggestive_p1e4	immune_proxy	55	Spearman	0.638600288600289	1.55567933258505e-07	1.72853259176117e-07	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	immune_proxy	26	Spearman	0.247863247863248	0.222137589007886	0.222137589007886	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_suggestive_p1e4	mineralization_remodeling_proxy	55	Spearman	0.660966810966811	3.97098119898846e-08	5.0910015371647e-08	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_suggestive_p1e4	mineralization_remodeling_proxy	26	Spearman	0.385982905982906	0.051466425433734	0.0665595431470704	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top100	injury_KIM1_LCN2_like	55	Spearman	0.76017316017316	1.6817261990411e-11	4.67146166400305e-11	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top100	injury_KIM1_LCN2_like	26	Spearman	0.619145299145299	0.000745160693191392	0.00379114282468266	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top100	inflammatory_stress	55	Spearman	0.655916305916306	5.45894493069623e-08	6.65724991548321e-08	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top100	inflammatory_stress	26	Spearman	0.353162393162393	0.0767688467110577	0.0936205447695826	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top100	epithelial_transport	55	Spearman	0.693578643578644	4.35817253980882e-09	7.02931054807874e-09	descriptive_noncausal_correlation	Across all included samples.
paired_difference_level	MAGMA_top100	epithelial_transport	26	Spearman	0.511111111111111	0.00762020054033362	0.0165656533485513	descriptive_noncausal_correlation	Disease-minus-control complete-pair differences.
sample_level	MAGMA_top100	Loop_TAL_transport_proxy	55	Spearman	0.627777777777778	2.89776871398079e-07	3.14974860215303e-07	descriptive_noncausal_correlation	Across all included samples.
