sample_id	section_id	module_name	predicted_compartment	n_spots	mean_module_score	median_module_score	sd_module_score	iqr_module_score	median_prediction_score_max	notes
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_top100	Injured/undifferentiated epithelial	604	0.199203586101648	0.202602229781387	0.0490332436994336	0.0569723442886796	0.856251551787825	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_top50	Collecting duct	52	0.155845504207716	0.148486144415482	0.0858487173010857	0.124567451673472	0.618946807520139	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_446	MAGMA_top50	Injured/undifferentiated epithelial	604	0.231177666613714	0.238148483504853	0.0664907809422941	0.0835956746378033	0.856251551787825	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_Bonferroni	Collecting duct	46	0.213724770853968	0.230214358715066	0.0601481611032866	0.0754177041526878	0.830312761363538	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_Bonferroni	Injured/undifferentiated epithelial	216	0.201199738268091	0.2067840225802	0.0500050706699548	0.0581416329754668	0.974323684887581	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_FDR05	Collecting duct	46	0.210986083344854	0.219397416151853	0.0459665215845514	0.0714060547714637	0.830312761363538	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_FDR05	Injured/undifferentiated epithelial	216	0.214656009397006	0.222398096301531	0.04006964791791	0.0412453545482728	0.974323684887581	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_suggestive_p1e4	Collecting duct	46	0.21636479009745	0.221538124207632	0.0491158864573524	0.062769762795235	0.830312761363538	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_suggestive_p1e4	Injured/undifferentiated epithelial	216	0.204164578883992	0.211528758186098	0.0447035820635375	0.0472771760506234	0.974323684887581	Predicted broad-compartment context only; not true cell fraction or histological ROI.
GSM7166168_inferred_from_archive	V12Y24.346_XY01_462	MAGMA_top100	Collecting duct	46	0.205486250445711	0.220311132856651	0.0567555224311916	0.0787259526698047	0.830312761363538	Predicted broad-compartment context only; not true cell fraction or histological ROI.
