module_name	donor_id	sample_id	compartment	n_nuclei	n_genes_used	mean_module_score	median_module_score	sd_module_score	se_module_score	detection_fraction_mean	notes
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Loop_of_Henle_TAL	244	172	0.302214910841823	0.307556052073534	0.0509533379123217	0.0032619532042301	0.206014105985513	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290912	GSM7290912	Pericyte_smooth_muscle	14	172	0.21254812214992	0.210722216955139	0.0497679022057394	0.013301031350882	0.143272425249169	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Collecting_duct_principal	1385	172	0.223333204603265	0.240974403068363	0.0843203589965335	0.0022657268964226	0.173679791789103	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Endothelial	305	172	0.227132206136985	0.236851877366332	0.0578552314709508	0.00331278091716097	0.196645062905071	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Fibroblast_stromal	761	172	0.216382440049048	0.229023499933397	0.0654323304061372	0.0023719201241606	0.175106194419827	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Injured_undifferentiated_epithelial	1727	172	0.124541366844445	0.107193923417572	0.0716082636448551	0.00172312575726525	0.068175085172567	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Loop_of_Henle_TAL	263	172	0.324703261411088	0.328676590222421	0.0466916913217283	0.00287913302756781	0.233442391016005	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290913	GSM7290913	Pericyte_smooth_muscle	21	172	0.230563550644686	0.222998899543727	0.0368798856445915	0.00804785083750742	0.170819490586932	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Collecting_duct_principal	10898	172	0.203758396444565	0.211120396427847	0.0840021491370048	0.0008046684907689	0.136592696761087	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Endothelial	1172	172	0.192011452407064	0.196987386982126	0.0510492445475164	0.00149116435507624	0.114518017302961	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Fibroblast_stromal	26	172	0.121927182956171	0.114759591461463	0.0437514335939337	0.00858036206319719	0.0518783542039356	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Injured_undifferentiated_epithelial	13	172	0.150980098281246	0.153386358978447	0.0515225191043375	0.0142897757285971	0.0697674418604651	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_suggestive_p1e4	GSM7290914	GSM7290914	Loop_of_Henle_TAL	4	172	0.271561454115452	0.270402280065527	0.0424578893674011	0.0212289446837006	0.181686046511628	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290910	GSM7290910	Collecting_duct_principal	6318	90	0.111590405116974	0.0974210743394005	0.0766608734248922	0.000964459404405236	0.0629102036509444	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290910	GSM7290910	Endothelial	271	90	0.188600768700257	0.195184245312142	0.0645174641532941	0.00391915683979992	0.142025420254203	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290910	GSM7290910	Fibroblast_stromal	902	90	0.176215679724671	0.183162203511784	0.080807797288519	0.00269060534048585	0.1270017245627	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290910	GSM7290910	Injured_undifferentiated_epithelial	566	90	0.214761774884337	0.231777662359145	0.0921827355780513	0.00387472938497739	0.163407930899097	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290910	GSM7290910	Loop_of_Henle_TAL	29	90	0.333139103921268	0.350643252023267	0.0683010699626319	0.0126831902845654	0.268582375478927	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290910	GSM7290910	Pericyte_smooth_muscle	113	90	0.216998848853413	0.219260990424164	0.0595398361658191	0.00560103663813265	0.167551622418879	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290912	GSM7290912	Collecting_duct_principal	16248	90	0.167344433387613	0.166217976544774	0.091321305944446	0.000716427352297554	0.112377591771979	Descriptive donor x compartment summary; no cell-level significance test.
MAGMA_top100	GSM7290912	GSM7290912	Endothelial	810	90	0.204655249768211	0.209777665328022	0.0670409178132468	0.00235557774131128	0.154540466392318	Descriptive donor x compartment summary; no cell-level significance test.
