gene	twas_z	twas_p	twas_fdr	reference_tissue	n_model_snps	model_class	magma_overlap	current_exemplar_gene	interpretation_class	notes
CLCN6	-2.98634921034227	0.0028233003645676	0.136139156715212	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
SLC2A9	-2.98551630973816	0.0028310004079635	0.136139156715212	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HHAT	2.97530221939087	0.00292700026228377	0.138651500481541	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
XRCC6	-2.97258853912354	0.00295300026180708	0.138651500481541	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DESI1	2.97258853912354	0.00295300026180709	0.138651500481541	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PIK3CA	2.96866130828857	0.00299100068481172	0.138859319019438	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
AMBRA1	-2.96732831001282	0.00300400002574332	0.138859319019438	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CCDC158	-2.96315813064575	0.00304500096370708	0.139197407076862	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF714	2.96184659004211	0.00305800106105467	0.139197407076862	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FUT11	2.95824122428894	0.00309399898925634	0.139769060401027	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC01942	-2.95496940612793	0.00312700057876643	0.140197777828453	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
CCNC	2.95211743185031	0.0031560288046618	0.14044328180745	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
SMLR1	-2.9433319568634	0.00324700046249689	0.143421213021251	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LRRC43	2.92505073547363	0.00344400068075147	0.148864472000663	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZSWIM8	2.92477989196777	0.00344699939933668	0.148864472000663	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC01534	-2.92343912075814	0.00346187914991823	0.148864472000663	GTEx_v8_Kidney_Cortex	2	multi_snp_model	no	no	not_fdr_supported	proxy only
ZNF670	2.92270128415173	0.00347009250513032	0.148864472000663	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
LINC01506	-2.91878366470337	0.00351399998223814	0.149201870627946	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SLC45A3	-2.91754388809204	0.00352799995950701	0.149201870627946	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DCDC1	2.91089081764221	0.00360399931235105	0.151342590841897	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NDN	2.90300559997559	0.00369600028125964	0.154120627112946	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
MDC1	-2.89405632019043	0.00380299942373567	0.157481149748165	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
BNIP1	2.88085341453552	0.00396600042498648	0.163098348511685	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LYNX1	-2.86947410032539	0.00411155003338296	0.166963971751684	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
OAF	-2.86913204193115	0.00411599930362192	0.166963971751684	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SIGLEC14	-2.86698698997498	0.00414400047634337	0.166964019192132	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
CCL28	2.86175680160522	0.00421300045904795	0.167713255539626	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CCDC134	2.8601803779602	0.00423400109666701	0.167713255539626	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF776	2.85816407203674	0.00426100008299981	0.167713255539626	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SCAPER	-2.85711576052113	0.00427509891699198	0.167713255539626	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
POLR3H	-2.83559775352478	0.00457400148362817	0.178266476123364	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
B3GNT8	2.82745242118836	0.004691998720668	0.181677846567164	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
APOBEC2	-2.82049250602722	0.00479499934514224	0.184468265129569	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
