gene	twas_z	twas_p	twas_fdr	reference_tissue	n_model_snps	model_class	magma_overlap	current_exemplar_gene	interpretation_class	notes
MAK16	1.032794713974	0.301699978009563	0.810356438169525	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LSM10	-1.03215396404266	0.30199999715064	0.810356438169525	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CAT	1.03194046020508	0.302100010405979	0.810356438169525	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC00240	-1.03194046020508	0.302100010405979	0.810356438169525	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
ERRFI1	1.03087377548218	0.302600015885152	0.810411292172747	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-431K24.1	1.03087377548218	0.302600015885152	0.810411292172747	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
FAM124B	1.03066062927246	0.302699993518609	0.810411292172747	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-326C3.15	-1.03066062927246	0.302699993518609	0.810411292172747	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
MARCH7	1.03044748306274	0.302799993117706	0.810411292172747	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
PPM1N	1.02991862686042	0.303048205969235	0.810711732702803	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
SIGIRR	-1.0293824672699	0.30329998463316	0.811021438729835	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
VTI1A	-1.02789330482483	0.304000019277621	0.811852599429864	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ELMOD1	-1.02768075466156	0.304100023617232	0.811852599429864	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NEDD9	-1.0272558927536	0.304299985600204	0.811852599429864	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-218F10.3	1.0272558927536	0.304299985600204	0.811852599429864	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SARAF	-1.02704346179962	0.304399999325628	0.811852599429864	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TRAIP	1.02661883831024	0.304599979935526	0.811852599429864	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CCM2L	1.02640652656555	0.304700002938795	0.811852599429864	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PA2G4	-1.02640652656555	0.304700002938795	0.811852599429864	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CCDC7	-1.02577006816864	0.304999977928892	0.812288909508701	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GRHL3	1.02428638935089	0.305700024727065	0.81303983688001	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC00543	-1.02407467365265	0.305800005719826	0.81303983688001	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SLC26A11	1.02407467365265	0.305800005719826	0.81303983688001	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
OCIAD1	1.02343964576721	0.306100022437636	0.81303983688001	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-775C24.5	1.02343964576721	0.306100022437636	0.81303983688001	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SEMA6C	-1.02343964576721	0.306100022437636	0.81303983688001	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LMO7DN	-1.02259373664856	0.306499972222974	0.813281086293	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-276H19.2	-1.0223822593689	0.306600013749231	0.813281086293	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
RP11-890B15.3	-1.0223822593689	0.306600013749231	0.813281086293	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
NLRP2	1.02111494541168	0.307199983052343	0.814510226296631	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LDB3	1.02006006240845	0.307699976185714	0.814890497760811	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HYDIN	-1.01942765712738	0.307999981543681	0.814890497760811	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KRT23	1.0194068240724	0.308009867782768	0.814890497760811	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
PLPP7	1.01921689510345	0.308100007462882	0.814890497760811	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TPD52	1.01900625228882	0.308199998277206	0.814890497760811	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CASP7	1.01882797073271	0.308284644178149	0.814890497760811	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
ACKR2	1.01879560947418	0.308300010556497	0.814890497760811	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-481J13.1	1.01837456226349	0.308499986249837	0.815057783787231	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
STXBP2	1.01690208911896	0.309200009428564	0.816545463340359	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SERPINF2	1.01606166362762	0.309600023308653	0.817142066478237	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ARPP19	-1.01585173606873	0.309699995009361	0.817142066478237	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PCDHGA9	1.01522207260132	0.309999981230415	0.817376322091193	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
UBXN11	1.01490665909386	0.310150323623603	0.817376322091193	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
SAMD12-AS1	1.0148024559021	0.310200002832864	0.817376322091193	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
TFF1	1.01396381855011	0.310600017193597	0.817873105875118	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GGH	1.01376837177573	0.310693290550796	0.817873105875118	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
HP1BP3	-1.01354479789734	0.31080000971206	0.817873105875118	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SLC9A3	1.01312601566315	0.31099997331838	0.818038306527348	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DOC2A	-1.01228880882263	0.31139998416286	0.818270697282872	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FBF1	-1.01207959651947	0.311499997120932	0.818270697282872	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TRMT10A	1.01207959651947	0.311499997120932	0.818270697282872	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF235	-1.01082539558411	0.312100006037993	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
UBA2	1.01040768623352	0.31230000688634	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
EMC4	-1.00999021530151	0.3124999779362	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GBF1	-1.00978147983551	0.312599995086292	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DEF6	-1.00936424732208	0.312799978337008	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CLDN12	-1.00915563106537	0.312900001551799	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
JAZF1	1.00915563106537	0.312900001551799	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PHF24	1.00873863697052	0.313099996788252	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HPCAL1	1.00832176208496	0.313300018957761	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MASP1	-1.00832176208496	0.313300018957761	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HAT1	1.00728046894073	0.313800012774339	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SETD2	-1.00728046894073	0.313800012774339	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PTPN9	1.00707232952118	0.313900017219767	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC01593	1.00665628910065	0.314099974390855	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
DKK1	1.00644826889038	0.314199984386948	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LL22NC03-2H8.4	1.00644826889038	0.314199984386948	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
TMEM87B	1.00603234767914	0.314400009858202	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SLAIN2	1.00584713878094	0.314489107746281	0.819101497653036	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
PLA1A	-1.00561666488647	0.314600004311066	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
UQCC2	-1.00540888309479	0.314700004205332	0.819101497653036	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CCDC40	1.00540699954479	0.314700910803808	0.819101497653036	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
TULP4	1.0049934387207	0.31490000926984	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KRTAP5-8	-1.00437068939209	0.315199972439293	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CDH24	1.00250446796417	0.316100009733118	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC00844	-1.00250446796417	0.316100009733118	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
ASCC1	1.00229740142822	0.316199977219981	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PPP1R14B	-1.00188326835632	0.316399974442617	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LPCAT2	1.00126230716705	0.316700010664099	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SLC37A2	-1.00105547904968	0.316799987366235	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF316	1.00105547904968	0.316799987366235	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
EMC9	-1.00022840499878	0.31719998584017	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
STOML1	-1.00022840499878	0.31719998584017	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
POU2F2	0.999815106391907	0.317399993815458	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
OR51E1	-0.999815106391907	0.317399993815458	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF280B	-0.999401986598968	0.317599997868326	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ATPAF2	0.999195516109466	0.317699987564691	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GPN1	0.998989045619964	0.317799997891497	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
NUPR2	0.99832130098288	0.318123581778293	0.819162150220141	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
ABCF3	0.998163640499115	0.31820001431787	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
VWA5B2	0.998163640499115	0.31820001431787	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SMC5	0.998163640499115	0.31820001431787	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DAB1	0.997957408428192	0.318300012132763	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PAFAH1B3	-0.997957408428192	0.318300012132763	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
BNIP2	0.997751235961914	0.318400001620382	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MRPL54	-0.996514976024628	0.318999994238864	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SLC4A5	0.996514976024628	0.318999994238864	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TRAF3IP3	-0.996309041976929	0.319100011838037	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SETD4	-0.996103227138519	0.319199992045196	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DXO	-0.99589741230011	0.319299992751681	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CTD-2008L17.2	0.995691597461701	0.319400013957459	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
LRRC14	0.9956915974617	0.319400013957459	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
STARD4	-0.995074570178986	0.319699997659514	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
THAP10	-0.99486893415451	0.319800013841033	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TMOD3	0.994868934154511	0.319800013841033	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
BCKDHB	-0.99453818765814	0.319960923530115	0.819162150220141	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
FRAT1	0.994457900524139	0.319999991574413	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SNX13	-0.994252383708954	0.320100011100652	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PRLR	0.994046986103058	0.320199993032781	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ABCA7	-0.99387167793897	0.320285344397042	0.819162150220141	GTEx_v8_Kidney_Cortex	3	multi_snp_model	yes	no	not_fdr_supported	proxy only
EP400NL	0.993841588497162	0.320299995380791	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
FTSJ3	-0.993636250495911	0.320399989115914	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LGALS4	0.99363625049591	0.320399989115914	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LINC01277	-0.993225634098053	0.320600008757333	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
RAB40C	0.992404997348785	0.321000002172066	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
EPB41L3	0.99199527969531	0.321199828047042	0.819162150220141	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
RP11-338N10.2	-0.991994917392731	0.321200004783772	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
ARL6IP1	-0.99158501625061	0.321400001508878	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-111M22.3	0.991023978213885	0.321673871921775	0.819162150220141	GTEx_v8_Kidney_Cortex	2	multi_snp_model	no	no	not_fdr_supported	proxy only
HOXC5	0.9907263352235	0.321819228023936	0.819162150220141	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
TWIST2	0.990560948848725	0.321900014181725	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
CRIPAK	-0.990356266498565	0.322000013541784	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
SLC26A1	0.989947080612183	0.32219998567474	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
WIPF2	0.989537954330444	0.322400009680363	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KIAA0513	-0.989333510398865	0.32249999375081	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MEI1	-0.988720297813415	0.322800008971647	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KIF1B	0.988605631825054	0.322856129679681	0.819162150220141	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
ATP1B2	0.98831170797348	0.323000013202328	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CAPN1	0.98831170797348	0.323000013202328	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-330M19.1	-0.987086951732636	0.323600013876505	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
PTRF	-0.986882984638214	0.323700006624427	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
ATP6V1G2	0.986679077148437	0.3237999902727	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CA12	-0.986475169658661	0.323899994038832	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
IL18RAP	0.986271321773529	0.323999988681573	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RP11-93H24.3	0.98545628786087	0.324399992722251	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
IGFBP2	-0.98545628786087	0.324399992722251	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF865	0.98545628786087	0.324399992722251	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DDX42	0.984438419342041	0.324899995689947	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
BLMH	-0.984234988689422	0.324999986116536	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MBLAC2	0.984031558036804	0.325099996565569	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MINDY3	-0.983828186988831	0.32519999772532	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TMEM81	0.983828186988831	0.32519999772532	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DPP8	-0.983421564102173	0.325400001429392	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SARNP	-0.983218312263489	0.325500003949994	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ORMDL2	-0.983218312263489	0.325500003949994	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
RANBP17	0.983218312263489	0.325500003949994	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CDKL1	-0.98301512002945	0.325599997122146	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
DHFR	-0.98281192779541	0.325700010269033	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KMO	-0.982202708721161	0.325999993405848	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GAL3ST2	0.981593787670135	0.326300009219108	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ANGPTL5	0.980985283851624	0.326599998654291	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ANO1	-0.980985283851624	0.326599998654291	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
GSKIP	0.980985283851624	0.326599998654291	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TOB1	-0.980985283851623	0.326599998654291	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
FECH	-0.980782508850097	0.326700005539501	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
OSER1-AS1	-0.980782508850097	0.326700005539501	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
C15orf61	-0.980579793453217	0.326800002910607	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PDZD8	0.979769289493561	0.327200014614742	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KIAA0319	-0.979699619359571	0.327234414064849	0.819162150220141	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
GHET1	0.979566812515259	0.327299993607839	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
CNIH4	-0.979364335536957	0.327399992432709	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
IMP4	-0.979364335536957	0.327399992432709	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
TIMM22	-0.979364335536957	0.327399992432709	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CDRT1	0.979364335536957	0.327399992432709	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
TBXA2R	0.979161858558655	0.327500011089186	0.819162150220141	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
HRNR	0.977517769032018	0.328312885220578	0.820851041748556	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
ZFYVE27	0.976937711238861	0.328599990610501	0.821224536467064	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MRPS31	-0.975726544857025	0.329199994152532	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZNF518B	-0.975323140621185	0.329399995361914	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
SMIM8	0.97491991519928	0.329599986571809	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ZBED4	0.974516808986664	0.329799997256068	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
ADRA1A	-0.974113881587982	0.329999997751668	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
KCNAB3	0.973711133003235	0.330199987952429	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
MRPL32	-0.973308503627777	0.330399997367089	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
CCDC96	0.973107278347015	0.33049998704182	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	no	no	not_fdr_supported	proxy only
RAB34	-0.97270543629505	0.330699722616026	0.821973589109808	GTEx_v8_Kidney_Cortex	2	multi_snp_model	yes	no	not_fdr_supported	proxy only
SLC22A3	0.972302675247192	0.330899993331864	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LDHAL6B	-0.971699655056	0.331199988447924	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
PADI4	0.971699655056	0.331199988447924	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
EVI2A	-0.971297800540924	0.331400003750848	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
LY96	-0.971096932888031	0.33150001100577	0.821973589109808	GTEx_v8_Kidney_Cortex	1	one_snp_model	yes	no	not_fdr_supported	proxy only
