record_type	packaging_source_file	donor_id	sample_id	compartment	n_nuclei	percent_within_donor	notes	module_name	loop_tal_mean_score	other_compartments_mean_score	loop_tal_minus_other	loop_tal_rank_within_donor	n_loop_tal_nuclei	n_other_nuclei	donor_subset	statistic_name	n_observed_genes_used	n_random_sets_successful	observed_value	random_median	random_p025	random_p975	observed_minus_random_median	observed_percentile	empirical_p_one_sided	benchmark_support_class	full_4_donor_value	exclude_GSM7290914_value	donors_loop_tal_ge20_value	donors_loop_tal_ge50_value	interpretation	original_value	driver_removed_value	absolute_change	percent_change	n_driver_removed_genes_used
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290910	median_loop_tal_minus_other	84	1000	0.146946091971467	0.0519119196539741	0.0187224559552112	0.0980361633304881	0.0950341723174927	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290910	n_donors_loop_tal_top_rank	84	1000	3	2	0	3	1	100	0.430569430569431	partial_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290912	mean_loop_tal_minus_other	84	1000	0.169078718428302	0.0620009930414897	0.0231689288333321	0.112153128299872	0.107077725386812	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290912	median_loop_tal_minus_other	84	1000	0.195369917230528	0.0632978668434181	0.0204773310435346	0.112729870863579	0.13207205038711	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290912	n_donors_loop_tal_top_rank	84	1000	3	2	0	3	1	100	0.446553446553447	partial_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290913	mean_loop_tal_minus_other	84	1000	0.152937443341948	0.0585125222380168	0.022190133131095	0.106674911521013	0.0944249211039312	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290913	median_loop_tal_minus_other	84	1000	0.146946091971467	0.0535335441977832	0.0202363770970985	0.10019882376859	0.0934125477736836	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290913	n_donors_loop_tal_top_rank	84	1000	3	3	0	3	0	100	0.505494505494506	not_supported										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290914	mean_loop_tal_minus_other	84	1000	0.184381323754809	0.0693333409112872	0.0308083380126283	0.119630702047332	0.115047982843522	100	0.000999000999000999	strong_matched_random_support										
matched_random_benchmark	results/tables/phase2_step3_matched_random_benchmark_summary.tsv						Matched random benchmark; interpret donor-level statistics conservatively.	MAGMA_Bonferroni							leave_one_out_exclude_GSM7290914	median_loop_tal_minus_other	84	1000	0.195369917230528	0.0631920047688781	0.0219479854819923	0.111354960276308	0.13217791246165	100	0.000999000999000999	strong_matched_random_support										
