source_component	source_path	cluster	current_phase1_cell_type	grouping	candidate_cell_type	marker_genes_requested	marker_genes_present	n_markers_present	mean_marker_expression	pct_cells_with_any_marker	n_cells	top_immune_marker_set	top_immune_mean_marker_expression	top_immune_pct_cells_with_any_marker	audit_flag	immune_review_flag	confidence	group
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0824639967363462	0.294706723891273	2097							5
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0161673768471873	0.0495049504950495	1919							6
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0559452823022689	0.15	1740							7
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0360675799869944	0.0913915094339623	1696							8
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Proximal_tubule	LRP2,SLC34A1,CUBN,ALDOB	LRP2,SLC34A1,CUBN,ALDOB	4	0.0684905473876462	0.0986883198001249	1601							9
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.115788861135012	0.205002718868951	9195							0
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.209091235055508	0.329240649792218	5294							1
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.16461101314342	0.474098360655738	1525							10
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.105360017793406	0.362854686156492	1163							11
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.105651756692842	0.2978515625	1024							12
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0857420713981444	0.354903943377149	989							13
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0808437959286623	0.286063569682152	818							14
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0486176319216462	0.198461538461538	650							15
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0917952884547542	0.332242225859247	611							16
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.252102493628707	0.633613445378151	595							17
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	1.43922809343027	0.996296296296296	540							18
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0308001171621168	0.111111111111111	540							19
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0713829188440317	0.285714285714286	4417							2
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.110924726316546	0.455223880597015	536							20
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.1874881901422	0.651356993736952	479							21
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0911407370645284	0.249433106575964	441							22
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.114431374749947	0.31304347826087	345							23
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.19250435614815	0.708333333333333	240							24
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.117562720965349	0.593939393939394	165							25
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0705903326524463	0.352564102564103	156							26
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.105033697483397	0.371621621621622	148							27
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0218859507680066	0.0574669187145558	2645							3
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.239654909377428	0.609787786920745	2309							4
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0204372981014397	0.10205054840248	2097							5
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0947175436028487	0.26784783741532	1919							6
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0612757592982262	0.19367816091954	1740							7
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.0889710074204295	0.221698113207547	1696							8
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Loop_of_Henle_TAL	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	UMOD,SLC12A1,CLDN10,KCNJ1,CLDN16	5	0.57470070413398	0.672704559650219	1601							9
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.59618703124008	0.934855899945623	9195							0
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	0.900544098924996	0.650358896864375	5294							1
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	1.07266319596066	0.987540983606557	1525							10
broad_marker_audit	results/tables/gse231569_marker_audit.tsv			seurat_cluster	Collecting_duct_principal	AQP2,AQP3,SCNN1G	AQP2,AQP3,SCNN1G	3	0.934075802148853	0.929492691315563	1163							11
