correlation_level	module_name	signature_name	n_observations	spearman_r	spearman_p	pearson_r	pearson_p	fdr	interpretation	notes
paired_delta_level	MAGMA_top100	ECM_fibrosis	26	0.544615384615385	0.00401901026673051	0.594644894641608	0.00135634242038251	0.0122934431688227	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	LoopTAL	26	0.373675213675214	0.0600480696679732	0.582895506180644	0.00177798892010708	0.100725794281762	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	T_cell	26	-0.0502564102564103	0.807378643447033	0.283837669699973	0.159958941451992	0.823209597240112	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	collecting_duct	26	0.342222222222222	0.0870281479791426	0.393040973878098	0.0469974991093062	0.133101873379865	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	endothelial	26	0.625299145299145	0.000636074404757275	0.641930978163996	0.000407670535029283	0.00295841328566455	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	epithelial_general	26	0.373675213675214	0.0600480696679732	0.418509963510415	0.0333524572014866	0.100725794281762	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	fibroblast_stromal	26	0.650598290598291	0.000319959982592496	0.68608432044609	0.000109154923374967	0.00207973988685122	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	immune_myeloid	26	0.40991452991453	0.0375472074964573	0.459440865337248	0.0182145322296969	0.0780981915926312	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	injury_epithelial	26	0.725811965811966	2.71036453327666e-05	0.791479352899715	1.47136175696906e-06	0.000467143783001291	strong_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	mineralization_remodeling	26	0.56034188034188	0.00290858134508209	0.683560041530822	0.000118400774914385	0.00972854242508887	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	pericyte_smooth_muscle	26	0.444102564102564	0.0230367114354011	0.521191984549228	0.00632797536334599	0.0570432854590884	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top100	proximal_tubule	26	0.130940170940171	0.52374438131167	0.440975059310193	0.0241369918603676	0.567389746420976	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	B_cell	26	0.16034188034188	0.433944689148142	0.408378756994762	0.0383390674374018	0.490546170341378	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	ECM_fibrosis	26	0.276581196581197	0.171377824008003	0.415365927046312	0.0348409531207982	0.217357240205272	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	LoopTAL	26	0.654017094017094	0.000290198458636076	0.752698516211845	9.15982007247179e-06	0.00207973988685122	moderate_signature_coupling_candidate	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
paired_delta_level	MAGMA_top50	T_cell	26	-0.203418803418803	0.318912327248791	0.21348257474669	0.295031135965975	0.376896386748571	weak_or_uncertain	Correlation prepares Stage 5B2 composition-aware sensitivity; not causal mediation.
