gene	reporting_group	curated_exemplar_flag	broad_compartment	mean_expression	detection_fraction	n_donors_detected	dominant_compartment	loop_tal_detection_fraction	loop_tal_mean_expression	notes
CLDN14	R1_MAGMA_Bonferroni_only	yes	Fibroblast_stromal	0.0232084094850608	0.0184102863822326	4	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Injured_undifferentiated_epithelial	0.0238677793190678	0.0207539178314274	3	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Loop_of_Henle_TAL	0.0232851765459649	0.0222222222222222	2	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CLDN14	R1_MAGMA_Bonferroni_only	yes	Pericyte_smooth_muscle	0.0316478745439195	0.0202702702702703	2	Pericyte_smooth_muscle	0.0222222222222222	0.0232851765459649	descriptive single-gene expression summary; no gene-level causal inference
CRHR1	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Collecting_duct_principal	0.00043049521103884	0.000286952279835863	3	Pericyte_smooth_muscle	0	0	descriptive single-gene expression summary; no gene-level causal inference
CRHR1	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Endothelial	0.00118360274069438	0.00117279124315872	2	Pericyte_smooth_muscle	0	0	descriptive single-gene expression summary; no gene-level causal inference
CRHR1	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Fibroblast_stromal	0.000305333776526905	0.000292226767971946	1	Pericyte_smooth_muscle	0	0	descriptive single-gene expression summary; no gene-level causal inference
CRHR1	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Injured_undifferentiated_epithelial	0	0	0	Pericyte_smooth_muscle	0	0	descriptive single-gene expression summary; no gene-level causal inference
CRHR1	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Loop_of_Henle_TAL	0	0	0	Pericyte_smooth_muscle	0	0	descriptive single-gene expression summary; no gene-level causal inference
CRHR1	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Pericyte_smooth_muscle	0.00667689128994813	0.00675675675675676	1	Pericyte_smooth_muscle	0	0	descriptive single-gene expression summary; no gene-level causal inference
DGKD	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.125391550775102	0.102528049585354	4	Injured_undifferentiated_epithelial	0.0777777777777778	0.0951205520256357	descriptive single-gene expression summary; no gene-level causal inference
DGKD	R1_MAGMA_Bonferroni_only	no	Endothelial	0.117442283873414	0.0965598123534011	4	Injured_undifferentiated_epithelial	0.0777777777777778	0.0951205520256357	descriptive single-gene expression summary; no gene-level causal inference
DGKD	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.119644782054435	0.0996493278784337	4	Injured_undifferentiated_epithelial	0.0777777777777778	0.0951205520256357	descriptive single-gene expression summary; no gene-level causal inference
DGKD	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.131599641065499	0.105463786531131	4	Injured_undifferentiated_epithelial	0.0777777777777778	0.0951205520256357	descriptive single-gene expression summary; no gene-level causal inference
DGKD	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.0951205520256357	0.0777777777777778	4	Injured_undifferentiated_epithelial	0.0777777777777778	0.0951205520256357	descriptive single-gene expression summary; no gene-level causal inference
DGKD	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0.0692217966479481	0.0608108108108108	2	Injured_undifferentiated_epithelial	0.0777777777777778	0.0951205520256357	descriptive single-gene expression summary; no gene-level causal inference
DGKH	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.623372783822527	0.376165743636833	4	Collecting_duct_principal	0.362962962962963	0.590194848084912	descriptive single-gene expression summary; no gene-level causal inference
DGKH	R1_MAGMA_Bonferroni_only	no	Endothelial	0.601621585750144	0.365129007036747	4	Collecting_duct_principal	0.362962962962963	0.590194848084912	descriptive single-gene expression summary; no gene-level causal inference
DGKH	R1_MAGMA_Bonferroni_only	no	Fibroblast_stromal	0.605200834002531	0.3708357685564	4	Collecting_duct_principal	0.362962962962963	0.590194848084912	descriptive single-gene expression summary; no gene-level causal inference
DGKH	R1_MAGMA_Bonferroni_only	no	Injured_undifferentiated_epithelial	0.593206605009051	0.359593392630241	4	Collecting_duct_principal	0.362962962962963	0.590194848084912	descriptive single-gene expression summary; no gene-level causal inference
DGKH	R1_MAGMA_Bonferroni_only	no	Loop_of_Henle_TAL	0.590194848084912	0.362962962962963	4	Collecting_duct_principal	0.362962962962963	0.590194848084912	descriptive single-gene expression summary; no gene-level causal inference
DGKH	R1_MAGMA_Bonferroni_only	no	Pericyte_smooth_muscle	0.610135153657557	0.371621621621622	3	Collecting_duct_principal	0.362962962962963	0.590194848084912	descriptive single-gene expression summary; no gene-level causal inference
DNAJB11	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Collecting_duct_principal	0.0858142927972563	0.0681798616890011	4	Pericyte_smooth_muscle	0.0685185185185185	0.0834497239004277	descriptive single-gene expression summary; no gene-level causal inference
DNAJB11	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Endothelial	0.0801446408912724	0.0609851446442533	4	Pericyte_smooth_muscle	0.0685185185185185	0.0834497239004277	descriptive single-gene expression summary; no gene-level causal inference
DNAJB11	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Fibroblast_stromal	0.090138764500905	0.0710111046171829	4	Pericyte_smooth_muscle	0.0685185185185185	0.0834497239004277	descriptive single-gene expression summary; no gene-level causal inference
DNAJB11	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Injured_undifferentiated_epithelial	0.092873656539088	0.0724269377382465	3	Pericyte_smooth_muscle	0.0685185185185185	0.0834497239004277	descriptive single-gene expression summary; no gene-level causal inference
DNAJB11	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Loop_of_Henle_TAL	0.0834497239004277	0.0685185185185185	4	Pericyte_smooth_muscle	0.0685185185185185	0.0834497239004277	descriptive single-gene expression summary; no gene-level causal inference
DNAJB11	R3_MAGMA_Bonferroni_plus_one_snp_TWAS_proxy	no	Pericyte_smooth_muscle	0.135060012220648	0.0878378378378378	2	Pericyte_smooth_muscle	0.0685185185185185	0.0834497239004277	descriptive single-gene expression summary; no gene-level causal inference
DZIP1	R1_MAGMA_Bonferroni_only	no	Collecting_duct_principal	0.113168866283061	0.0805475049499268	4	Loop_of_Henle_TAL	0.107407407407407	0.153573251474426	descriptive single-gene expression summary; no gene-level causal inference
