module_name	donor_id	sample_id	disease_status	broad_compartment	n_nuclei	n_genes_detected	mean_module_score	median_module_score	sd_module_score	sem_module_score	detection_fraction_mean	low_cell_count_flag	notes
MAGMA_FDR	GSM7290913	GSM7290913	stone_disease	Loop_of_Henle_TAL	263	341	0.268938203582944	0.272477082174423	0.040043287202977	0.00246917486719577	0.205824961252411	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290913	GSM7290913	stone_disease	Pericyte_smooth_muscle	21	341	0.217697232057898	0.219927098293235	0.0377787502316983	0.0082439991713137	0.166038262812456	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290914	GSM7290914	stone_disease	Collecting_duct_principal	10898	341	0.190451109519814	0.197729792569867	0.0727074193243036	0.000696474673284473	0.130293486550036	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290914	GSM7290914	stone_disease	Endothelial	1172	341	0.188269748495381	0.190151078675282	0.0435850602617849	0.00127313320407178	0.112057490016314	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290914	GSM7290914	stone_disease	Fibroblast_stromal	26	341	0.119151437169936	0.108404437498187	0.0369904696066186	0.0072544279361965	0.0508684863523573	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290914	GSM7290914	stone_disease	Injured_undifferentiated_epithelial	13	341	0.136977875875402	0.133308831779015	0.0400899219424578	0.0111189437840677	0.0636138055492894	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_FDR	GSM7290914	GSM7290914	stone_disease	Loop_of_Henle_TAL	4	341	0.234082119444023	0.232119971065185	0.0533583987657743	0.0266791993828871	0.159824046920821	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290910	GSM7290910	healthy_control	Collecting_duct_principal	6318	172	0.119925698679967	0.100415956277773	0.0755068259564837	0.000949940499463106	0.0679757724331368	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290910	GSM7290910	healthy_control	Endothelial	271	172	0.207246630895938	0.216736399237604	0.0592124777120192	0.00359690186327188	0.156526216424955	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290910	GSM7290910	healthy_control	Fibroblast_stromal	902	172	0.190956463942223	0.204382383168888	0.0799431375562812	0.00266181532057037	0.13466199144021	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290910	GSM7290910	healthy_control	Injured_undifferentiated_epithelial	566	172	0.21314705904866	0.229656773267241	0.0847394729654183	0.00356186572146794	0.16470129016353	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290910	GSM7290910	healthy_control	Loop_of_Henle_TAL	29	172	0.309429962276796	0.324107719522109	0.0569570146050526	0.0105766520886405	0.267642341619888	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290910	GSM7290910	healthy_control	Pericyte_smooth_muscle	113	172	0.226485298731085	0.233231232391037	0.0517159650528339	0.00486502875537977	0.176065033957604	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290912	GSM7290912	healthy_control	Collecting_duct_principal	16248	172	0.187255220669836	0.184607818207531	0.0945455159973744	0.000741721693498454	0.121434265970481	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290912	GSM7290912	healthy_control	Endothelial	810	172	0.22367613412591	0.222153626220235	0.0650724809023484	0.00228641391832478	0.165884295147861	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290912	GSM7290912	healthy_control	Fibroblast_stromal	1733	172	0.2004289343095	0.207182724098136	0.0663312400119343	0.00159337806720306	0.130352661737275	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290912	GSM7290912	healthy_control	Injured_undifferentiated_epithelial	55	172	0.157754556232213	0.151942273727543	0.0646896105728518	0.00872274531020347	0.0856236786469345	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290912	GSM7290912	healthy_control	Loop_of_Henle_TAL	244	172	0.302214910841823	0.307556052073534	0.0509533379123217	0.0032619532042301	0.206014105985513	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290912	GSM7290912	healthy_control	Pericyte_smooth_muscle	14	172	0.21254812214992	0.210722216955139	0.0497679022057394	0.013301031350882	0.143272425249169	yes	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290913	GSM7290913	stone_disease	Collecting_duct_principal	1385	172	0.223333204603265	0.240974403068363	0.0843203589965335	0.0022657268964226	0.173679791789103	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290913	GSM7290913	stone_disease	Endothelial	305	172	0.227132206136985	0.236851877366332	0.0578552314709508	0.00331278091716097	0.196645062905071	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290913	GSM7290913	stone_disease	Fibroblast_stromal	761	172	0.216382440049048	0.229023499933397	0.0654323304061372	0.0023719201241606	0.175106194419827	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
MAGMA_suggestive	GSM7290913	GSM7290913	stone_disease	Injured_undifferentiated_epithelial	1727	172	0.124541366844445	0.107193923417572	0.0716082636448551	0.00172312575726525	0.068175085172567	no	nucleus-level scores aggregated to donor x broad_compartment; no cell-level inferential test
